"Company 
(Maker-if known)","Specific Bean Origin
or Bar Name",REF,"Review
Date","Cocoa
Percent","Company
Location",Rating,"Bean
Type","Broad Bean
Origin",Percent2
Guido Castagna,Ghana,355,2009,64%,Italy,3,Forastero,Ghana,64
hello cocoa,Uganda,1458,2015,57%,U.S.A.,2.75,Forastero,Uganda,57
Hotel Chocolat (Coppeneur),Uganda,296,2008,80%,U.K.,2.5,Forastero,Uganda,80
Hotel Chocolat (Coppeneur),Uba Budo,300,2008,72%,U.K.,3,Forastero,Sao Tome,72
Hummingbird,Amazonas,1097,2013,70%,Canada,3.75,Forastero,Venezuela,70
K'ul,"Bahia, Fazenda Camboa",1852,2016,70%,U.S.A.,3.75,Forastero,Brazil,70
Kyya,Uganda,1359,2014,72.5%,U.S.A.,2.5,Forastero,Uganda,72.5
La Maison du Chocolat (Valrhona),Akosombo,346,2009,68%,France,3.25,Forastero,Ghana,68
Laia aka Chat-Noir,"Sao Tome, Batch 151",1638,2015,75%,France,3.5,Forastero,Sao Tome,75
Manufaktura Czekolady,Grand Cru Ghana,871,2012,70%,Poland,3.5,Forastero,Ghana,70
Mars,"Ghana, prototype",544,2010,65%,U.S.A.,3.5,Forastero,Ghana,65
Michel Cluizel,Vila Gracinda,135,2007,67%,France,3.5,Forastero,Sao Tome,67
Michel Cluizel,Tamarina,24,2006,70%,France,3,Forastero,Sao Tome,70
Nathan Miller,Ghana,1403,2014,70%,U.S.A.,3.5,Forastero,Ghana,70
Neuhaus (Callebaut),West Africa,15,2006,73%,Belgium,2,Forastero,West Africa,73
Neuhaus (Callebaut),Sao Tome,15,2006,75%,Belgium,2.75,Forastero,Sao Tome,75
Noble Bean aka Jerjobo,Ghana,1295,2014,75%,U.S.A.,3,Forastero,Ghana,75
Nuance,"Ghana, 2013",1454,2015,70%,U.S.A.,3.75,Forastero,Ghana,70
Ocelot,Virunga,1558,2015,70%,Scotland,3.75,Forastero,Congo,70
Olive and Sinclair,Ghana prototype,486,2010,72%,U.S.A.,3,Forastero,Ghana,72
Omanhene,Ghana,693,2011,80%,Ghana,2.75,Forastero,Ghana,80
Original Beans (Felchlin),"D.R. Congo, Cru Virunga",331,2009,70%,Switzerland,3,Forastero,Congo,70
Pierre Marcolini,"Haut Penja, w/ nibs",1658,2015,70%,Belgium,3.25,Forastero,Cameroon,70
Pierre Marcolini,"Bahia Brazil, Fazenda Sao Pedro",414,2009,72%,Belgium,3,Forastero,Brazil,72
Pralus,Claudio Corallo w/ nibs,162,2007,75%,France,4,Forastero,Sao Tome,75
Pralus,"Monte Alegre (Itacare), Brazil",105,2006,75%,France,3,Forastero,Brazil,75
Pralus,Sao Tome & Principe,5,2006,75%,France,3.5,Forastero,Sao Tome & Principe,75
Pralus,Ghana,40,2006,75%,France,3.25,Forastero,Ghana,75
Raaka,Virunga,1708,2015,75%,U.S.A.,2.75,Forastero,Congo,75
Rozsavolgyi,Principe,765,2011,77%,Hungary,2.75,Forastero,Principe,77
Salgado,Bahia Superior,288,2008,70%,Argentina,3.5,Forastero,Brazil,70
Santome,Sao Tome,761,2011,70%,France,2.75,Forastero,Sao Tome,70
Scharffen Berger,Asante,336,2009,65%,U.S.A.,4,Forastero,Ghana,65
Shark Mountain,Papua New Guinea,1450,2015,73%,U.S.A.,3.5,Forastero,Papua New Guinea,73
Silvio Bessone,"Trintade, Sao Tome",725,2011,65%,Italy,3.25,Forastero,Sao Tome,65
Sjolinds,Ghana,1454,2015,70%,U.S.A.,2.75,Forastero,Ghana,70
Snake & Butterfly,Ghana,693,2011,67%,U.S.A.,1.5,Forastero,Ghana,67
Soma,Orinoco,1173,2013,70%,Canada,3.25,Forastero,Venezuela,70
Soma,"Elvesia P., Black Science",682,2011,70%,Canada,3.75,Forastero,Dominican Republic,70
Soma,Hispaniola,377,2009,70%,Canada,3,Forastero,Dominican Republic,70
Soma,Africa,377,2009,70%,Canada,3.5,Forastero,Ghana,70
TCHO,West Africa,1716,2016,62%,U.S.A.,2,Forastero,West Africa,62
TCHO,Chocolatey-beta,199,2008,70%,U.S.A.,2.5,Forastero,Ghana,70
Terroir,Uganda,1323,2014,73%,U.S.A.,3.75,Forastero,Uganda,73
Theo,Congo w/ nibs,903,2012,65%,U.S.A.,3.25,Forastero,Congo,65
Theo,"Ghana, Kumasi",184,2007,84%,U.S.A.,3,Forastero,Ghana,84
Valrhona,Nyangbo,395,2009,68%,France,3.5,Forastero,Ghana,68
Valrhona,Abinao,153,2007,85%,France,2.5,Forastero,West Africa,85
Valrhona,Le Noir Amer,157,2007,71%,France,2.75,Forastero,West Africa,71
Vanleer (Barry Callebaut),Manhattan,963,2012,72%,U.S.A.,2.5,Forastero,Ghana,72
Vanleer (Barry Callebaut),Napa,963,2012,65%,U.S.A.,2.75,Forastero,Ghana,65
Whittakers,Ghana,733,2011,72%,New Zealand,2.5,Forastero,Ghana,72
Zotter,"Kongo, Highlands",883,2012,68%,Austria,3.25,Forastero,Congo,68
Zotter,Congo,749,2011,65%,Austria,3,Forastero,Congo,65
Zotter,Kerala State,749,2011,65%,Austria,3.5,Forastero,India,65
Heirloom Cacao Preservation (Guittard),"Los Rios, Hacienda Limon, Orecao, 2014",1243,2014,67%,U.S.A.,3.75,EET,Ecuador,67
Heirloom Cacao Preservation (Millcreek),"Los Rios, Hacienda Limon, Orecao, 2015",1744,2016,70%,U.S.A.,3.5,EET,Ecuador,70
Heirloom Cacao Preservation (Mindo),"Pinchincha, Mindo, Coop Nueva Esper., 2015",1748,2016,77%,U.S.A.,3.5,EET,Ecuador,77
Guittard,"Sambirano, Ambanja",87,2006,65%,U.S.A.,3.5,Criollo,Madagascar,65
Felchlin,"Alto Beni, Cru Savage",56,2006,68%,Switzerland,4,Criollo,Bolivia,68
Amedei,Porcelana,111,2007,70%,Italy,4,Criollo,Venezuela,70
Beschle (Felchlin),"Porcelana, Premier Cru, Quizas No. 1",508,2010,74%,Switzerland,3.25,Criollo,Venezuela,74
Bonnat,"Porcelana, Venezuela",199,2008,75%,France,4,Criollo,Venezuela,75
Coppeneur,"Porcelana, Venezuela",220,2008,72%,Germany,3,Criollo,Venezuela,72
Domori,Porcelana,111,2007,70%,Italy,4,Criollo,Venezuela,70
Ethel's Artisan (Mars),Porcelana,666,2011,70%,U.S.A.,2.5,Criollo,Venezuela,70
La Maison du Chocolat (Valrhona),"Porcelana, Pariguan",346,2009,69%,France,3.5,Criollo,Venezuela,69
Pralus,"Porcelana, S. of Lake Maracaibo",717,2011,75%,France,3.25,Criollo,Venezuela,75
Valrhona,"Porcelana, Maracaibo, Palmira P. 2006",162,2007,64%,France,3.25,Criollo,Venezuela,64
Valrhona,"Porcelana, Maracaibo, Palmira P. 2005",75,2006,64%,France,3,Criollo,Venezuela,64
Chocolate Con Amor,Ocumare,1764,2016,80%,U.S.A.,3,Criollo,Venezuela,80
Domori,Ocumare 77,1672,2015,70%,Italy,3.75,Criollo,Venezuela,70
Domori,"Ocumare 67, Puertofino",192,2007,70%,Italy,4,Criollo,Venezuela,70
Coppeneur,Ocumare 61,558,2010,72%,Germany,3.25,Criollo,Venezuela,72
Domori,"Ocumare 61, Puertomar",129,2007,75%,Italy,3.25,Criollo,Venezuela,75
Zotter,"Satipo Pangoa region, 16hr conche",875,2012,70%,Austria,3,Criollo,Peru,70
Zotter,"Satipo Pangoa region, 20hr conche",875,2012,70%,Austria,3.5,Criollo,Peru,70
A. Morin,Carenero,1315,2014,70%,France,2.75,Criollo,Venezuela,70
A. Morin,Sur del Lago,1315,2014,70%,France,3.5,Criollo,Venezuela,70
A. Morin,Puerto Cabello,1319,2014,70%,France,3.75,Criollo,Venezuela,70
A. Morin,Madagascar,1011,2013,70%,France,3,Criollo,Madagascar,70
Acalli,"Tumbes, Norandino",1470,2015,70%,U.S.A.,3.75,Criollo,Peru,70
Ah Cacao,Tabasco,316,2009,70%,Mexico,3,Criollo,Mexico,70
Akesson's (Pralus),"Madagascar, Ambolikapiky P.",502,2010,75%,Switzerland,2.75,Criollo,Madagascar,75
Amano,Ocumare,175,2007,70%,U.S.A.,3.75,Criollo,Venezuela,70
Artisan du Chocolat,Peru,363,2009,75%,U.K.,3,Criollo,Peru,75
Benoit Nihant,Chuao,1141,2013,74%,Belgium,3.5,Criollo,Venezuela,74
Benoit Nihant,Cuyagua Village,1141,2013,74%,Belgium,3.5,Criollo,Venezuela,74
Beschle (Felchlin),Maracaibo,636,2011,88%,Switzerland,3,Criollo,Venezuela,88
Bittersweet Origins,"Ocumare, prototype",565,2010,78%,U.S.A.,3,Criollo,Venezuela,78
Bonnat,"Madagascar, 100% criollo",629,2011,75%,France,4,Criollo,Madagascar,75
Bonnat,"Porcelana, Apotequil",336,2009,75%,France,2.75,Criollo,Peru,75
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75%,France,3,Criollo,Mexico,75
Bonnat,"Xoconusco, cacao Real",395,2009,75%,France,3,Criollo,Mexico,75
Bonnat,"Maracaibo, El Rosario",48,2006,75%,France,4,Criollo,Venezuela,75
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70%,U.S.A.,3.5,Criollo,Venezuela,70
Cacao Atlanta,Tumbes,1215,2014,75%,U.S.A.,2.5,Criollo,Peru,75
Cacao Prieto,"Criollo, Dominican Republic",991,2012,72%,U.S.A.,3.75,Criollo,Dominican Republic,72
Cacao Sampaka,"Mahali, Kasai",1908,2016,70%,Spain,3.5,Criollo,Congo,70
Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,70%,Spain,4,Criollo,Mexico,70
Cacao Sampaka,"Xoconusco, Chiapas",346,2009,70%,Spain,4,Criollo,Mexico,70
Cao,Porcelana,1804,2016,75%,U.S.A.,2.5,Criollo,Venezuela,75
Cao,"Porcelana, Batch 5163",1804,2016,70%,U.S.A.,3,Criollo,Venezuela,70
Castronovo,San Martin,1105,2013,70%,U.S.A.,2.5,Criollo,Peru,70
Castronovo,Tumbes,1153,2013,70%,U.S.A.,2.75,Criollo,Peru,70
Chocolarder,Peru,1482,2015,65%,U.K.,2.5,Criollo,Peru,65
Chocolarder,Peru + nibs,1482,2015,65%,U.K.,2.75,Criollo,Peru,65
Chocolate Makers,"Peru, Awagum bar",1530,2015,80%,Amsterdam,3.75,Criollo,Peru,80
"Chocolate Tree, The",Peru,919,2012,68%,Scotland,2.75,Criollo,Peru,68
"Chocolate Tree, The",Madagascar,919,2012,72%,Scotland,3.25,Criollo,Madagascar,72
Chocolats Privilege,Xoconusco,1219,2014,70%,Canada,2.5,Criollo,Mexico,70
ChocoReko,Patanemo,1454,2015,77%,Japan,3,Criollo,Venezuela,77
Chocovic,Xoconusco,478,2010,71%,Spain,3.25,Criollo,Mexico,71
Chocovic,Ocumare,209,2008,71%,Spain,3.5,Criollo,Venezuela,71
Choklat,Ocumare,377,2009,80%,Canada,2.5,Criollo,Venezuela,80
Choklat,"Porcelana, Tabasco",377,2009,70%,Canada,2.75,Criollo,Mexico,70
Choklat,Ocumare,377,2009,70%,Canada,3,Criollo,Venezuela,70
Chuao Chocolatier,Choroni,445,2009,61%,U.S.A.,3,Criollo,Venezuela,61
Compania de Chocolate (Salgado),Ocumare,292,2008,70%,Argentina,3.75,Criollo,Venezuela,70
Coppeneur,"Porcelana, Apotequil",341,2009,72%,Germany,3,Criollo,Peru,72
Coppeneur,"Porcelana, Apotequil",445,2009,62%,Germany,3.25,Criollo,Peru,62
Coppeneur,"Porcelana, Tabasco, Mexico",220,2008,72%,Germany,3,Criollo,Mexico,72
Danta,Las Acacias E.,987,2012,70%,Guatemala,4,Criollo,Guatemala,70
Danta,Las Acacias E.,423,2009,75%,Guatemala,3,Criollo,Guatemala,75
Danta,Las Acacias E.,423,2009,60%,Guatemala,3.25,Criollo,Guatemala,60
Dick Taylor,Mantuano,682,2011,75%,U.S.A.,2.75,Criollo,Venezuela,75
Domori,"IL100, H. San Jose",1109,2013,100%,Italy,3,Criollo,Venezuela,100
Domori,Guasare,863,2012,70%,Italy,3.75,Criollo,Venezuela,70
Domori,"Canoabo, Hacienda San Jose",693,2011,70%,Italy,3.5,Criollo,Venezuela,70
Domori,Madagared,192,2007,70%,Italy,3.5,Criollo,Madagascar,70
Domori,"Java, Javablond",192,2007,70%,Italy,3.75,Criollo,Indonesia,70
Duffy's,"Rio Dulce, Xoco",1662,2015,70%,U.K.,4,Criollo,Guatemala,70
Duffy's,"Chuno, Xoco",1331,2014,70%,U.K.,3.5,Criollo,Nicaragua,70
Duffy's,"Rico Rugoso, Xoco",1331,2014,76%,U.K.,3.75,Criollo,Nicaragua,76
Duffy's,"Indio Rojo, Xoco",623,2011,72%,U.K.,3.75,Criollo,Honduras,72
Duffy's,"Nicaliso, Xoco",697,2011,71%,U.K.,3.25,Criollo,Nicaragua,71
Edelmond,Porcelana,1876,2016,68%,Germany,3,Criollo,Venezuela,68
El Rey,"Carenero Superior, Apamate",206,2008,74%,Venezuela,2.5,Criollo,Venezuela,74
El Rey,"Carenero Superior, Bucare",206,2008,58%,Venezuela,2.5,Criollo,Venezuela,58
El Rey,"Carenero Superior, Mijao",206,2008,61%,Venezuela,3,Criollo,Venezuela,61
El Rey,"Carenero Superior, Gran Saman",32,2006,70%,Venezuela,2.75,Criollo,Venezuela,70
Emily's,Peru,1454,2015,78%,Japan,3.5,Criollo,Peru,78
Escazu,Carenero Superior,423,2009,81%,U.S.A.,3.5,Criollo,Venezuela,81
Escazu,Ocumare,252,2008,72%,U.S.A.,3,Criollo,Venezuela,72
Felchlin,"Madagascar, Grand Cru",48,2006,64%,Switzerland,3,Criollo,Madagascar,64
Felchlin,Maracaibo Clasificado,48,2006,65%,Switzerland,3,Criollo,Venezuela,65
Forever Cacao,Rio Eni,1267,2014,72%,U.K.,2.75,Criollo,Peru,72
French Broad,Tumbes Coop,883,2012,70%,U.S.A.,2.5,Criollo,Peru,70
Fresco,"Carenero Superior, #203, MR, SC",370,2009,65%,U.S.A.,3.5,Criollo,Venezuela,65
hello cocoa,Venezuela,1462,2015,74%,U.S.A.,3.5,Criollo,Venezuela,74
Hogarth,Gran Blanco,1712,2016,66%,New Zealand,3.5,Criollo,Peru,66
Idilio (Felchlin),Coopertiva Amazona,725,2011,72%,Switzerland,3.75,Criollo,Venezuela,72
Idilio (Felchlin),"Choroni, Finca Torres, 48hr c.",729,2011,72%,Switzerland,3.25,Criollo,Venezuela,72
Idilio (Felchlin),"Ocumare, H. Cata, 48hr c.",733,2011,72%,Switzerland,3.75,Criollo,Venezuela,72
Idilio (Felchlin),"Porcelana, Zulia",733,2011,74%,Switzerland,4,Criollo,Venezuela,74
Idilio (Felchlin),"Ocumare, H. Cata, w/ nibs",737,2011,72%,Switzerland,3.5,Criollo,Venezuela,72
Idilio (Felchlin),Coopertiva Amazona w/ nibs,737,2011,72%,Switzerland,4,Criollo,Venezuela,72
iQ Chocolate,"Satipo region, white label",943,2012,72%,Scotland,2.75,Criollo,Peru,72
La Chocolaterie Nanairo,"Tumbes, 2013 Harvest, Batch 8",1892,2016,70%,Japan,3,Criollo,Peru,70
L'Amourette,Blend,853,2012,72%,U.S.A.,3,Criollo,"Peru, Ecuador, Venezuela",72
Levy,Sambirano,1231,2014,71%,Finland,3.5,Criollo,Madagascar,71
Lillie Belle,Perfect Illusion,855,2012,65%,U.S.A.,3.5,Criollo,Peru,65
Lillie Belle,"Bolivia, Wild Thing",903,2012,68%,U.S.A.,3.5,Criollo,Bolivia,68
Lillie Belle,Wild Thing,947,2012,68%,U.S.A.,3.5,Criollo,Bolivia,68
Madre,"Criollo, Hawaii",995,2012,70%,U.S.A.,3.25,Criollo,Hawaii,70
Maglio,Cuba,308,2008,70%,Italy,3.25,Criollo,Cuba,70
Manufaktura Czekolady,Porcelana,1255,2014,70%,Poland,3.75,Criollo,Venezuela,70
Map Chocolate,"Tumbes, Dear Mr. Finley, 2014",1606,2015,68%,U.S.A.,3.5,Criollo,Peru,68
Mast Brothers,Patanemo,572,2010,81%,U.S.A.,2.75,Criollo,Venezuela,81
Maverick,Tumbes,1430,2014,82%,U.S.A.,3.25,Criollo,Peru,82
Maverick,"Morropon, Norandiono Coop, Piura",1430,2014,63%,U.S.A.,3.5,Criollo,Peru,63
Middlebury,Alto Beni,887,2012,75%,U.S.A.,2,Criollo,Bolivia,75
Middlebury,"Balinese, Java",887,2012,70%,U.S.A.,2.5,Criollo,Indonesia,70
Na�ve,Nicaragua,1379,2014,70%,Lithuania,3.25,Criollo,Nicaragua,70
Neuhaus (Callebaut),Papua New Guinea,531,2010,70%,Belgium,2.5,Criollo,Papua New Guinea,70
Neuhaus (Callebaut),Ocumare,24,2006,71%,Belgium,3,Criollo,Venezuela,71
Nibble,Patanemo,1526,2015,72%,U.S.A.,2.25,Criollo,Venezuela,72
Nibble,Tumbes,1526,2015,72%,U.S.A.,3,Criollo,Peru,72
Nuance,"Canoabo, 2013",1458,2015,70%,U.S.A.,3,Criollo,Venezuela,70
Obolo,Pangoa,1638,2015,70%,Chile,3.75,Criollo,Peru,70
Obolo,"Pangoa, w/ nibs",1638,2015,70%,Chile,3.75,Criollo,Peru,70
Ocelot,Piura,1558,2015,75%,Scotland,4,Criollo,Peru,75
Oialla by Bojessen (Malmo),"Sylvestre, Oialla",761,2011,70%,Germany,3.5,Criollo,Bolivia,70
Original Beans (Felchlin),"Piura, Apotequil, ""Porcelana"" 72hr c.",341,2009,75%,Switzerland,3,Criollo,Peru,75
Original Hawaiin Chocolate Factory,"Hawai'i, Kona Grand Cru E.",316,2009,60%,U.S.A.,3,Criollo,Hawaii,60
Pierre Marcolini,Chuao,478,2010,75%,Belgium,3,Criollo,Venezuela,75
Pierre Marcolini,"Peru, Las Pampas P.",531,2010,85%,Belgium,3,Criollo,Peru,85
Pierre Marcolini,"Porcelana, Tabasco, Finca La Joya",445,2009,72%,Belgium,3,Criollo,Mexico,72
Pierre Marcolini,"Porcelana, Tabasco, Limited Ed.",81,2006,72%,Belgium,4,Criollo,Mexico,72
Pierre Marcolini,"Kendem Lembu, Java",93,2006,72%,Belgium,3,Criollo,Indonesia,72
Pierre Marcolini,"Ocumare, Puerto Cabello, Venezuela",93,2006,72%,Belgium,4,Criollo,Venezuela,72
Pomm (aka Dead Dog),Peru,829,2012,82%,U.S.A.,2.75,Criollo,Peru,82
Pralus,"Sambirano Valley, Le 100%",202,2008,100%,France,3,Criollo,Madagascar,100
Pralus,Tanzania,105,2006,75%,France,3.5,Criollo,Tanzania,75
Pralus,"Madagascar, Nosy Be Isle.",5,2006,75%,France,3.75,Criollo,Madagascar,75
Pralus,"Java, Indonesie",32,2006,75%,France,3.5,Criollo,Indonesia,75
Pump Street Bakery,"Akesson's, batch 4411",1530,2015,74%,U.K.,3.5,Criollo,Madagascar,74
Quetzalli (Wolter),"Mexico, Lot 28022016",1796,2016,70%,Mexico,2.75,Criollo,Mexico,70
Ranger,"Tumbes, Batch 2",1562,2015,73%,U.S.A.,3.5,Criollo,Peru,73
Raoul Boulanger,Piura,1872,2016,75%,France,3.25,Criollo,Peru,75
Raw Cocoa,Raw,867,2012,70%,Poland,2.5,Criollo, ,70
Rogue,Porcelana,1209,2014,80%,U.S.A.,3.75,Criollo,Venezuela,80
Rogue,"Silvestre, Batch 1, 2011",793,2011,75%,U.S.A.,3,Criollo,Bolivia,75
Rozsavolgyi,Carenero Superior,713,2011,73%,Hungary,3.5,Criollo,Venezuela,73
Shark Mountain,Cuyagua,1466,2015,77%,U.S.A.,2.75,Criollo,Venezuela,77
Shattell,Porcelana,757,2011,75%,Peru,3.5,Criollo,Peru,75
Silvio Bessone,Maya Belize,717,2011,67%,Italy,3,Criollo,Belize,67
"Smooth Chocolator, The","Guasare, La Sierra de Perija, batch gua001",1740,2016,70%,Australia,3.75,Criollo,Venezuela,70
"Smooth Chocolator, The","Porcelana, Sorotaima,Machiques,batch pcl001",1740,2016,70%,Australia,4,Criollo,Ecuador,70
Soma,CSB Chama,1594,2015,70%,Canada,3.5,Criollo,Venezuela,70
Soma,Java,1030,2013,70%,Canada,3.25,Criollo,Indonesia,70
Soma,"Apurimac, El Quinacho Co-op",1073,2013,70%,Canada,2.75,Criollo,Peru,70
Soma,Patanemo,1077,2013,70%,Canada,3.75,Criollo,Venezuela,70
Soma,"Maracaibo, El Vigia",1077,2013,70%,Canada,4,Criollo,Venezuela,70
Soma,Chuao,688,2011,70%,Canada,3.5,Criollo,Venezuela,70
Soma,Madagascar,387,2009,70%,Canada,3.75,Criollo,Madagascar,70
Soma,Ocumare,387,2009,70%,Canada,3.75,Criollo,Venezuela,70
Sprungli (Felchlin),Alto Beni,1057,2013,70%,Switzerland,3,Criollo,Bolivia,70
Szanto Tibor,Porcelana,1263,2014,70%,Hungary,3.5,Criollo,Venezuela,70
Szanto Tibor,"Autumn, Primary Harvest, 2012",1185,2013,70%,Hungary,3.5,Criollo,Madagascar,70
Szanto Tibor,"Spring, Secondary Harvest, 2012",1185,2013,70%,Hungary,3.5,Criollo,Madagascar,70
Tocoti,"Wild Bolivian, Jungle Love",927,2012,77%,U.S.A.,3,Criollo,Bolivia,77
Two Ravens,Peru,1740,2016,60%,U.S.A.,3,Criollo,Peru,60
Valrhona,"Porcelana, Pedegral",757,2011,64%,France,4,Criollo,Venezuela,64
Violet Sky,Cuyagua,1458,2015,77%,U.S.A.,3,Criollo,Venezuela,77
Wilkie's Organic,Amazonas,1169,2013,75%,Ireland,2.5,Criollo,Peru,75
Wilkie's Organic,Amazonas,1169,2013,89%,Ireland,2.75,Criollo,Peru,89
Wilkie's Organic,Tumbes,1169,2013,75%,Ireland,3.25,Criollo,Peru,75
Wilkie's Organic,Amazonas w/ nibs,1173,2013,75%,Ireland,2.75,Criollo,Peru,75
Wm,"Guasare, Zulia Prov., 2015, batch 124",1912,2016,74%,U.S.A.,3,Criollo,Venezuela,74
Carlotta Chocolat,Cesar,1888,2016,65%,Colombia,3.5,CCN51,Colombia,65
Amedei,Nine,111,2007,75%,Italy,4,Blend, ,75
Amedei,Toscano Black,170,2007,63%,Italy,3.5,Blend, ,63
Amedei,Toscano Black,40,2006,70%,Italy,5,Blend, ,70
Amedei,Toscano Black,75,2006,66%,Italy,4,Blend, ,66
Bahen & Co.,Houseblend,999,2012,70%,Australia,2.5,Blend, ,70
Bittersweet Origins,2009 Hapa Nibby,502,2010,70%,U.S.A.,3.75,Blend,"Dominican Rep., Bali",70
Burnt Fork Bend,Blend,1303,2014,72%,U.S.A.,3.25,Blend, ,72
C-Amaro,"Lago di Como, Blu",1442,2014,70%,Italy,3.5,Blend, ,70
Chocovic,Maragda,117,2007,70%,Spain,3,Blend, ,70
Domori,Blend No. 1,272,2008,78%,Italy,3.5,Blend, ,78
Domori,Ilblend,272,2008,70%,Italy,3.75,Blend, ,70
Garden Island,"Kaua'I, Alea Estate +world",1367,2014,85%,U.S.A.,2.5,Blend,Hawaii,85
Guittard,Complexite,387,2009,70%,U.S.A.,3.5,Blend, ,70
Guittard,Quetzalcoatl,147,2007,72%,U.S.A.,3.5,Blend, ,72
Guittard,Tsaranta,93,2006,61%,U.S.A.,3.5,Blend, ,61
Guittard,Semisweet,99,2006,61%,U.S.A.,3,Blend, ,61
La Maison du Chocolat (Valrhona),"Cuana, 2008",230,2008,74%,France,3.5,Blend,"Ven., Indonesia, Ecuad.",74
Malie Kai (Guittard),"O'ahu, N. Shore, Waialua Estate",311,2009,55%,U.S.A.,2.75,Blend,Hawaii,55
Mast Brothers,French Laundry 20th Anniversary,1359,2014,75%,U.S.A.,3.75,Blend,"Peru, Belize",75
Mast Brothers,Shake Shack,959,2012,73%,U.S.A.,3.5,Blend,"Peru, Mad., Dom. Rep.",73
Original Beans (Felchlin),"Grand Cru Blend No.1, 5 yr. Anniversary Ed",1442,2014,80%,Switzerland,3.25,Blend, ,80
Palette de Bine,Duo- Gran Couva & Camino Verde,1399,2014,75%,Canada,3.5,Blend,"Trinidad, Ecuador",75
Patric,Signature Blend,636,2011,70%,U.S.A.,3.75,Blend, ,70
Pierre Marcolini,Cabosse,111,2007,70%,Belgium,4,Blend,"Venezuela, Java",70
Pierre Marcolini,Fleur de Cacao,166,2007,85%,Belgium,3.5,Blend,Venezuela/ Ghana,85
Ritual,"Mid Mountain, 2014",1466,2015,70%,U.S.A.,3.5,Blend, ,70
Scharffen Berger,Finisterra,227,2008,72%,U.S.A.,3,Blend,"Ven., Trinidad, Mad.",72
Scharffen Berger,Las Islas,117,2007,72%,U.S.A.,3,Blend,Carribean(DR/Jam/Tri),72
Scharffen Berger,Antilles (Trin/Gren/DR/Ven),188,2007,75%,U.S.A.,3,Blend,Carribean,75
Scharffen Berger,Bittersweet,15,2006,70%,U.S.A.,3.5,Blend, ,70
Scharffen Berger,Kumasi Sambirano,40,2006,68%,U.S.A.,2,Blend,Ghana & Madagascar,68
Scharffen Berger,Semisweet,56,2006,62%,U.S.A.,3,Blend, ,62
Solstice,Wasatch,1161,2013,70%,U.S.A.,3.5,Blend, ,70
Soma,Little Big Man,1339,2014,70%,Canada,3.25,Blend,Madagascar & Ecuador,70
Soma,"Dual Origins, Sambirano, Elvesia",867,2012,70%,Canada,4,Blend,"Dom. Rep., Madagascar",70
Soma,"Dancing in Your Head, 5 bean blend",867,2012,70%,Canada,4,Blend,"Gre., PNG, Haw., Haiti, Mad",70
Soma,Eastern Promises,967,2012,70%,Canada,3.5,Blend,"Mad., Java, PNG",70
Tejas,Bayou Blend,801,2012,70%,U.S.A.,3,Blend,"Ecuador, Mad., PNG",70
Theo,"Venezuela; Barinos, Merida, Tachron",188,2007,91%,U.S.A.,2,Blend,Venezuela,91
Theo,"Ghana, Panama, Ecuador",188,2007,75%,U.S.A.,3,Blend,"Ghana, Panama, Ecuador",75
Valrhona,Araguani,117,2007,72%,France,3,Blend,"Venezuela, Carribean",72
Fruition,"Wild Bolivian, Batch 2",1780,2016,74%,U.S.A.,3.75,Beniano,Bolivia,74
Heirloom Cacao Preservation (Guittard),"Wild Beni, Lower Rio Beni, Tranquilidad, 2014",1243,2014,67%,U.S.A.,3,Beniano,Bolivia,67
Heirloom Cacao Preservation (Zokoko),"Wild Beni, Lower Rio Beni, Tranquilidad, 2015",1744,2016,72%,U.S.A.,4,Beniano,Bolivia,72
Fruition,"Coto Brus, Heirloom, Batch 1",1780,2016,74%,U.S.A.,4,Amazon,Costa Rica,74
Heirloom Cacao Preservation (Fruition),"Cota Brus, Terciopelo, 2015",1748,2016,74%,U.S.A.,3.5,Amazon,Costa Rica,74
Heirloom Cacao Preservation (Brasstown),"Maya Mtn, Moho R., Toledo D., 2015",1748,2016,70%,U.S.A.,3.25,Amazon,Belize,70
